vehicle_id,vehicle_type,make_id,make_name,make_type,model_year,vehicle_desc,color,date_stolen,location_id,region,country,population,density
24,Trailer - Heavy,623,Trailer,Standard,2021,CT DIG 25,Silver,11/12/2021,102,Auckland,New Zealand,1695200,343.09
25,Trailer,623,Trailer,Standard,2018,CHOOKS 2.4X1.6 TRANS,Silver,10/8/2021,106,Hawke's Bay,New Zealand,182700,12.92
26,Trailer,623,Trailer,Standard,2017,EASY TILT,Silver,3/4/2022,108,Manawatū-Whanganui,New Zealand,258200,11.62
27,Trailer,623,Trailer,Standard,2018,IFOR WILLIAMS CT177,Silver,2/27/2022,103,Waikato,New Zealand,513800,21.5
28,Trailer,623,Trailer,Standard,2018,CONDOR,Silver,2/1/2022,109,Wellington,New Zealand,543500,67.52
29,Trailer,623,Trailer,Standard,2018,HOMEBUILT,Silver,11/1/2021,104,Bay of Plenty,New Zealand,347700,28.8
30,Trailer,623,Trailer,Standard,2018,PRO COMMERCIAL,Silver,12/21/2021,102,Auckland,New Zealand,1695200,343.09
31,Trailer,623,Trailer,Standard,2018,FACTORY,Grey,1/3/2022,102,Auckland,New Zealand,1695200,343.09
32,Trailer,549,Homebuilt,Standard,1998,TRAILER,Green,10/21/2021,114,Canterbury,New Zealand,655000,14.72
33,Boat Trailer,623,Trailer,Standard,2017,JFK JETSKI,Grey,2/15/2022,104,Bay of Plenty,New Zealand,347700,28.8
34,Trailer,623,Trailer,Standard,2021,BST 2021D,Silver,1/5/2022,102,Auckland,New Zealand,1695200,343.09
35,Trailer,514,Briford,Standard,2021,10X5 TANDEM,Silver,4/5/2022,114,Canterbury,New Zealand,655000,14.72
36,Trailer,623,Trailer,Standard,2018,HOMEMADE,Grey,2/17/2022,103,Waikato,New Zealand,513800,21.5
37,Trailer,623,Trailer,Standard,2018,COMPASS-KH63,Silver,2/23/2022,102,Auckland,New Zealand,1695200,343.09
38,Trailer,623,Trailer,Standard,2018,TRAYLA,Silver,1/17/2022,109,Wellington,New Zealand,543500,67.52
39,Trailer - Heavy,623,Trailer,Standard,2021,PRESCOTT,Silver,12/3/2021,104,Bay of Plenty,New Zealand,347700,28.8
40,Trailer,549,Homebuilt,Standard,2021,TRAILER,Black,12/27/2021,109,Wellington,New Zealand,543500,67.52
41,Trailer,623,Trailer,Standard,2021,TRAYLA,Silver,3/2/2022,106,Hawke's Bay,New Zealand,182700,12.92
42,Trailer,623,Trailer,Standard,2002,HOMEMADE,Silver,1/2/2022,102,Auckland,New Zealand,1695200,343.09
43,Boat Trailer,623,Trailer,Standard,2018,BST58OR,Silver,2/24/2022,102,Auckland,New Zealand,1695200,343.09
44,Trailer,549,Homebuilt,Standard,2018,TRAILER,Silver,2/28/2022,114,Canterbury,New Zealand,655000,14.72
45,Trailer,623,Trailer,Standard,2014,DOMESTIC TRAILER,Silver,10/19/2021,104,Bay of Plenty,New Zealand,347700,28.8
46,Moped,538,Factory Built,Standard,2005,TGB PALIO,Silver,11/9/2021,106,Hawke's Bay,New Zealand,182700,12.92
47,Trailer - Heavy,623,Trailer,Standard,2004,TANDEM,Grey,11/5/2021,102,Auckland,New Zealand,1695200,343.09
48,Trailer,527,Custombuilt,Standard,2021,TRAILER,Silver,3/2/2022,102,Auckland,New Zealand,1695200,343.09
49,Trailer,623,Trailer,Standard,2021,DOMESTIC,Grey,10/22/2021,102,Auckland,New Zealand,1695200,343.09
50,Trailer,623,Trailer,Standard,2021,M J TANDEM AXLE,Silver,1/20/2022,114,Canterbury,New Zealand,655000,14.72
51,Trailer,514,Briford,Standard,2021,8X4 CAGE,Silver,12/7/2021,102,Auckland,New Zealand,1695200,343.09
52,Caravan,537,Elddis,Standard,2003,RIVIERA 482,White,10/13/2021,114,Canterbury,New Zealand,655000,14.72
53,Roadbike,636,Yamaha,Standard,1995,XTZ660BG,Blue,3/21/2022,111,Nelson,New Zealand,54500,129.15
54,Roadbike,561,Kawasaki,Standard,1999,NINJA,Green,2/15/2022,104,Bay of Plenty,New Zealand,347700,28.8
55,Trailer - Heavy,623,Trailer,Standard,2021,PRESCOTT,Silver,2/6/2022,104,Bay of Plenty,New Zealand,347700,28.8
56,Trailer - Heavy,623,Trailer,Standard,2000,BRIFORD,Yellow,3/5/2022,102,Auckland,New Zealand,1695200,343.09
57,Boat Trailer,623,Trailer,Standard,2021,ASD JETSKI,Silver,2/21/2022,102,Auckland,New Zealand,1695200,343.09
58,Trailer,623,Trailer,Standard,1997,BRIFORD 8X4-6COVERED,Yellow,11/5/2021,105,Gisborne,New Zealand,52100,6.21
59,Trailer,623,Trailer,Standard,2021,HOMEBUILT,Black,3/6/2022,102,Auckland,New Zealand,1695200,343.09
60,Trailer,623,Trailer,Standard,1983,OLEARY,Red,1/2/2022,108,Manawatū-Whanganui,New Zealand,258200,11.62
61,Trailer,623,Trailer,Standard,2021,TRAILERWORLD 9X5 HSB,Silver,3/26/2022,102,Auckland,New Zealand,1695200,343.09
62,Trailer,623,Trailer,Standard,2018,SINGLE AXLE,Silver,10/10/2021,102,Auckland,New Zealand,1695200,343.09
63,Moped,550,Honda,Standard,2008,TODAY 50,Yellow,12/19/2021,104,Bay of Plenty,New Zealand,347700,28.8
64,Trailer,623,Trailer,Standard,2018,IFOR WILLIAMS,Black,1/6/2022,104,Bay of Plenty,New Zealand,347700,28.8
65,Trailer,623,Trailer,Standard,2014,PRESCOTT,Silver,3/24/2022,104,Bay of Plenty,New Zealand,347700,28.8
66,Boat Trailer,623,Trailer,Standard,2014,SPORTLINE,Silver,10/21/2021,105,Gisborne,New Zealand,52100,6.21
67,Hatchback,540,Ford,Standard,2006,FOCUS,Blue,11/13/2021,105,Gisborne,New Zealand,52100,6.21
68,Trailer - Heavy,623,Trailer,Standard,2014,TILTING FLAT DECK,Silver,11/8/2021,105,Gisborne,New Zealand,52100,6.21
69,Trailer,623,Trailer,Standard,2014,PMTRAILER,Silver,1/24/2022,114,Canterbury,New Zealand,655000,14.72
70,Boat Trailer,551,Hoskings,Standard,2014,BOAT TRAILER,Silver,4/4/2022,103,Waikato,New Zealand,513800,21.5
71,Trailer,623,Trailer,Standard,2014,TRAYLA,Silver,2/24/2022,107,Taranaki,New Zealand,127300,17.55
72,Trailer,623,Trailer,Standard,2014,ELITE,Silver,2/4/2022,102,Auckland,New Zealand,1695200,343.09
73,Trailer,623,Trailer,Standard,2014,ELITE 7X4,Silver,1/14/2022,114,Canterbury,New Zealand,655000,14.72
74,Caravan,591,Oxford,Standard,1969,PIONEER,White,11/27/2021,104,Bay of Plenty,New Zealand,347700,28.8
75,Saloon,512,BMW,Luxury,2007,323I,White,3/23/2022,102,Auckland,New Zealand,1695200,343.09
76,Trailer,623,Trailer,Standard,2015,7 X 4 STD,Silver,1/5/2022,102,Auckland,New Zealand,1695200,343.09
77,Trailer,623,Trailer,Standard,2011,HOMEBUILT,Grey,4/2/2022,102,Auckland,New Zealand,1695200,343.09
78,Boat Trailer,623,Trailer,Standard,2015,ENDURO,Silver,1/6/2022,104,Bay of Plenty,New Zealand,347700,28.8
79,Trailer,623,Trailer,Standard,2015,TRAYLA,Silver,2/28/2022,106,Hawke's Bay,New Zealand,182700,12.92
80,Trailer,623,Trailer,Standard,2015,ELITE 8X5,Silver,1/14/2022,114,Canterbury,New Zealand,655000,14.72
81,Trailer,623,Trailer,Standard,2015,COMPASS D105,Silver,10/18/2021,102,Auckland,New Zealand,1695200,343.09
82,Trailer,623,Trailer,Standard,2015,DOMESTIC TRAILER,Silver,3/16/2022,103,Waikato,New Zealand,513800,21.5
83,Trailer - Heavy,623,Trailer,Standard,1998,TANK,White,1/18/2022,104,Bay of Plenty,New Zealand,347700,28.8
84,Stationwagon,507,Audi,Standard,2015,ALLROAD,Silver,4/3/2022,109,Wellington,New Zealand,543500,67.52
85,Trailer,623,Trailer,Standard,2015,ELITE 8X4,Silver,1/4/2022,114,Canterbury,New Zealand,655000,14.72
86,Roadbike,629,Vespa,Standard,2001,PIAGGIO,Silver,12/6/2021,102,Auckland,New Zealand,1695200,343.09
87,Trailer,623,Trailer,Standard,2015,HELMACK 8X5,Silver,1/19/2022,114,Canterbury,New Zealand,655000,14.72
88,Trailer,623,Trailer,Standard,1984,LOCAL,Yellow,3/21/2022,102,Auckland,New Zealand,1695200,343.09
89,Trailer,623,Trailer,Standard,2015,SINGLE AXLE,Silver,3/1/2022,103,Waikato,New Zealand,513800,21.5
90,Boat Trailer,623,Trailer,Standard,2008,BOAT,Silver,2/22/2022,104,Bay of Plenty,New Zealand,347700,28.8
91,Trailer,623,Trailer,Standard,1990,HOMEBUILT,Blue,1/20/2022,104,Bay of Plenty,New Zealand,347700,28.8
92,Trailer,623,Trailer,Standard,2000,PRESCOTT,Silver,3/8/2022,104,Bay of Plenty,New Zealand,347700,28.8
93,Trailer,549,Homebuilt,Standard,1996,TRAILER,Silver,3/24/2022,102,Auckland,New Zealand,1695200,343.09
94,Trailer,623,Trailer,Standard,2018,COMPASS-C85,Silver,3/18/2022,102,Auckland,New Zealand,1695200,343.09
95,Trailer,616,Titan,Standard,2018,DOMESTIC TRAILER,Silver,12/28/2021,102,Auckland,New Zealand,1695200,343.09
96,Trailer,527,Custombuilt,Standard,1985,TANDEM,Silver,1/13/2022,102,Auckland,New Zealand,1695200,343.09
97,Roadbike,550,Honda,Standard,2005,VT,Red,3/19/2022,102,Auckland,New Zealand,1695200,343.09
98,Roadbike,550,Honda,Standard,2000,CBR,Blue,1/31/2022,114,Canterbury,New Zealand,655000,14.72
99,Trailer,623,Trailer,Standard,2022,HOMEBUILT,Black,2/14/2022,102,Auckland,New Zealand,1695200,343.09
100,Boat Trailer,623,Trailer,Standard,2021,JETSKI ACTION LAB,Grey,12/30/2021,103,Waikato,New Zealand,513800,21.5
101,Trailer,623,Trailer,Standard,2000,HOMEBUILT,Silver,1/29/2022,106,Hawke's Bay,New Zealand,182700,12.92
102,Trailer,549,Homebuilt,Standard,2022,TRAILER,Black,3/12/2022,104,Bay of Plenty,New Zealand,347700,28.8
103,Trailer,623,Trailer,Standard,1998,MARTIN ENGINEERING,White,3/28/2022,102,Auckland,New Zealand,1695200,343.09
104,Trailer,623,Trailer,Standard,2018,TUFF,Silver,11/22/2021,104,Bay of Plenty,New Zealand,347700,28.8
105,Trailer,623,Trailer,Standard,1977,LOCAL,Brown,12/3/2021,104,Bay of Plenty,New Zealand,347700,28.8
106,Trailer - Heavy,623,Trailer,Standard,2018,8X4 TRAYLA,Silver,2/1/2022,106,Hawke's Bay,New Zealand,182700,12.92
107,Trailer,623,Trailer,Standard,1980,HOMEMADE,Blue,3/20/2022,111,Nelson,New Zealand,54500,129.15
108,Trailer - Heavy,623,Trailer,Standard,2018,NYMIC,White,4/3/2022,114,Canterbury,New Zealand,655000,14.72
109,Trailer,623,Trailer,Standard,2022,TRAILER,Silver,2/9/2022,102,Auckland,New Zealand,1695200,343.09
110,Trailer,623,Trailer,Standard,2019,TANDEM,Grey,2/23/2022,109,Wellington,New Zealand,543500,67.52
111,Trailer,623,Trailer,Standard,2022,COMPASS-D116K,Silver,3/15/2022,106,Hawke's Bay,New Zealand,182700,12.92
112,Roadbike,545,Harley Davidson,Standard,2004,FXSTDI,Red,1/16/2022,102,Auckland,New Zealand,1695200,343.09
113,Trailer,623,Trailer,Standard,1967,LOCAL,Grey,10/19/2021,114,Canterbury,New Zealand,655000,14.72
114,Caravan,519,Caravan,Standard,2006,SWIFT CHARISMA 230,White,2/27/2022,102,Auckland,New Zealand,1695200,343.09
115,Trailer,623,Trailer,Standard,2018,TANK,Silver,3/29/2022,114,Canterbury,New Zealand,655000,14.72
116,Tractor,575,Massey,Standard,2007,FERGUSSON,Red,1/23/2022,103,Waikato,New Zealand,513800,21.5
117,Trailer,623,Trailer,Standard,2022,BST85,Silver,3/15/2022,109,Wellington,New Zealand,543500,67.52
118,Roadbike,611,Suzuki,Standard,2003,LS650P,Black,12/3/2021,101,Northland,New Zealand,201500,16.11
119,Boat Trailer,626,Trojan,Standard,2022,JET SKI,Black,3/19/2022,102,Auckland,New Zealand,1695200,343.09
120,Trailer,623,Trailer,Standard,2022,VULCAN,Silver,3/4/2022,102,Auckland,New Zealand,1695200,343.09
121,Boat Trailer,549,Homebuilt,Standard,1989,EZ LOADER STABI CRAF,Grey,10/12/2021,114,Canterbury,New Zealand,655000,14.72
122,Boat Trailer,623,Trailer,Standard,2017,MCLAY,Silver,3/19/2022,105,Gisborne,New Zealand,52100,6.21
123,Trailer,623,Trailer,Standard,2019,ENSOL TANKER,Silver,2/28/2022,108,Manawatū-Whanganui,New Zealand,258200,11.62
124,Roadbike,561,Kawasaki,Standard,2008,EX,Red,4/2/2022,102,Auckland,New Zealand,1695200,343.09
125,Moped,585,Moped,Standard,2008,HYOSUNG SB49M,Red,1/29/2022,102,Auckland,New Zealand,1695200,343.09
126,Trailer,623,Trailer,Standard,1996,BRIFORD,Grey,3/13/2022,114,Canterbury,New Zealand,655000,14.72
127,Boat Trailer,623,Trailer,Standard,2000,REID,Silver,2/3/2022,102,Auckland,New Zealand,1695200,343.09
128,Boat Trailer,549,Homebuilt,Standard,1994,15X7,White,1/1/2022,114,Canterbury,New Zealand,655000,14.72
129,Trailer,623,Trailer,Standard,1998,KEA,Grey,11/16/2021,111,Nelson,New Zealand,54500,129.15
130,Trailer,623,Trailer,Standard,2019,ROADCHIEF,Grey,1/20/2022,101,Northland,New Zealand,201500,16.11
131,Roadbike,565,KTM,Standard,2002,EXC,Orange,2/13/2022,101,Northland,New Zealand,201500,16.11
132,Trailer,623,Trailer,Standard,2019,JOBMATE,Silver,3/13/2022,104,Bay of Plenty,New Zealand,347700,28.8
133,Trailer,623,Trailer,Standard,2022,ENSOL TANKER,Silver,4/1/2022,108,Manawatū-Whanganui,New Zealand,258200,11.62
134,Trailer,623,Trailer,Standard,2019,BRAKED TANDEM,Silver,12/17/2021,104,Bay of Plenty,New Zealand,347700,28.8
135,Trailer,623,Trailer,Standard,1980,HARENG,Grey,12/31/2021,103,Waikato,New Zealand,513800,21.5
136,Trailer,623,Trailer,Standard,2019,HOMEBUILT,Silver,3/13/2022,115,Otago,New Zealand,246000,7.89
137,Trailer,616,Titan,Standard,2019,DOMESTIC TRAILER,Silver,10/29/2021,102,Auckland,New Zealand,1695200,343.09
138,Trailer,623,Trailer,Standard,1962,HOMEMADE,Green,2/16/2022,114,Canterbury,New Zealand,655000,14.72
139,Trailer,623,Trailer,Standard,1997,SPACEE 2000,White,11/16/2021,107,Taranaki,New Zealand,127300,17.55
140,Trailer,514,Briford,Standard,2018,8X4 TANDEM TIPPER,Silver,3/18/2022,114,Canterbury,New Zealand,655000,14.72
141,Trailer,538,Factory Built,Standard,2019,BRENT SMITH TRAILERS,Silver,12/30/2021,109,Wellington,New Zealand,543500,67.52
142,Trailer,623,Trailer,Standard,2019,TASMAN8X5TB,Silver,10/10/2021,111,Nelson,New Zealand,54500,129.15
143,Boat Trailer,623,Trailer,Standard,2019,MAKZ,Silver,12/14/2021,109,Wellington,New Zealand,543500,67.52
144,Trailer,595,Pinto,Standard,2019,ENCLOSED TRAILER,Silver,10/19/2021,102,Auckland,New Zealand,1695200,343.09
145,Trailer,623,Trailer,Standard,2019,ELITE 8X4,Silver,2/28/2022,114,Canterbury,New Zealand,655000,14.72
146,Trailer - Heavy,623,Trailer,Standard,2019,TRANSPORTER,Silver,12/27/2021,105,Gisborne,New Zealand,52100,6.21
147,Trailer,623,Trailer,Standard,2019,DOMESTIC,Grey,3/9/2022,102,Auckland,New Zealand,1695200,343.09
148,Trailer,538,Factory Built,Standard,2015,DOMESTIC TRAILER,Silver,3/21/2022,101,Northland,New Zealand,201500,16.11
149,Trailer - Heavy,514,Briford,Standard,2015,TRAILER 8X4,Silver,12/8/2021,102,Auckland,New Zealand,1695200,343.09
150,Caravan,519,Caravan,Standard,2008,XPLORE 452,White,12/26/2021,104,Bay of Plenty,New Zealand,347700,28.8
151,Trailer,595,Pinto,Standard,2015,BRAKED TANDEM,Silver,2/18/2022,103,Waikato,New Zealand,513800,21.5
152,Trailer,623,Trailer,Standard,2015,HOBBS,Silver,11/12/2021,105,Gisborne,New Zealand,52100,6.21
153,Trailer,623,Trailer,Standard,2015,WILPRO,Silver,11/22/2021,104,Bay of Plenty,New Zealand,347700,28.8
154,Trailer - Heavy,514,Briford,Standard,2015,TRAILER,Silver,1/24/2022,102,Auckland,New Zealand,1695200,343.09
155,Trailer - Heavy,514,Briford,Standard,2015,TRAILER,Silver,3/8/2022,102,Auckland,New Zealand,1695200,343.09
156,Trailer - Heavy,514,Briford,Standard,2015,OTHER COMMERCIAL TRA,Silver,1/6/2022,114,Canterbury,New Zealand,655000,14.72
157,Trailer,623,Trailer,Standard,2015,SINGLE AXLE 7X4,Silver,2/19/2022,114,Canterbury,New Zealand,655000,14.72
158,Caravan,606,Sprite,Standard,2007,ALPINE  4T2A,White,1/29/2022,109,Wellington,New Zealand,543500,67.52
159,Trailer,623,Trailer,Standard,2015,FACTORY BUILT,Silver,1/10/2022,106,Hawke's Bay,New Zealand,182700,12.92
160,Saloon,587,Nissan,Standard,1989,SKYLINE,Blue,2/3/2022,109,Wellington,New Zealand,543500,67.52
161,Boat Trailer,623,Trailer,Standard,2015,YAMAHA VXR,Silver,11/10/2021,114,Canterbury,New Zealand,655000,14.72
162,Trailer - Heavy,514,Briford,Standard,2015,TRAILER,Silver,10/12/2021,109,Wellington,New Zealand,543500,67.52
163,Trailer,623,Trailer,Standard,2015,ROADLINE,Silver,10/30/2021,101,Northland,New Zealand,201500,16.11
164,Trailer,623,Trailer,Standard,2015,TRAYLA,Silver,1/13/2022,109,Wellington,New Zealand,543500,67.52
165,Trailer - Heavy,514,Briford,Standard,2015,TRAILER,Silver,12/31/2021,103,Waikato,New Zealand,513800,21.5
166,Trailer - Heavy,514,Briford,Standard,2015,TRAILER,Silver,12/8/2021,102,Auckland,New Zealand,1695200,343.09
167,Caravan,525,Classic,Standard,1972,HALF VISTA,Red,3/16/2022,104,Bay of Plenty,New Zealand,347700,28.8
168,Trailer - Heavy,623,Trailer,Standard,2015,CANTERBURY FABRICAT,White,3/8/2022,107,Taranaki,New Zealand,127300,17.55
169,Trailer,623,Trailer,Standard,2015,4.5M FLATDECK,Silver,1/28/2022,103,Waikato,New Zealand,513800,21.5
170,Trail Bike,565,KTM,Standard,2020,SFX,Orange,11/8/2021,114,Canterbury,New Zealand,655000,14.72
171,Trailer,623,Trailer,Standard,2016,ELITE 8X4,Silver,3/30/2022,114,Canterbury,New Zealand,655000,14.72
172,Trailer,623,Trailer,Standard,2019,ROADCHIEF 8X5,Silver,3/24/2022,115,Otago,New Zealand,246000,7.89
173,Trailer,623,Trailer,Standard,1998,LOCAL,Silver,12/25/2021,107,Taranaki,New Zealand,127300,17.55
174,Boat Trailer,623,Trailer,Standard,2012,BOAT,Silver,12/22/2021,102,Auckland,New Zealand,1695200,343.09
175,Trailer - Heavy,623,Trailer,Standard,2019,MM INDUSTRIES,Silver,10/11/2021,102,Auckland,New Zealand,1695200,343.09
176,Trailer,562,Kea,Standard,2019,KC85E,Silver,4/1/2022,104,Bay of Plenty,New Zealand,347700,28.8
177,Trailer,562,Kea,Standard,2019,KC106AB,Silver,3/29/2022,103,Waikato,New Zealand,513800,21.5
178,Boat Trailer,623,Trailer,Standard,2019,BOAT TRAILER,Silver,2/12/2022,102,Auckland,New Zealand,1695200,343.09
179,Trailer - Heavy,562,Kea,Standard,2019,CAGE,Silver,11/24/2021,103,Waikato,New Zealand,513800,21.5
180,Moped,629,Vespa,Standard,1963,SPORTIQUE,Cream,12/7/2021,115,Otago,New Zealand,246000,7.89
181,Trailer,514,Briford,Standard,2019,5X4,Silver,11/2/2021,114,Canterbury,New Zealand,655000,14.72
182,Trailer,623,Trailer,Standard,2019,CTDIG,Silver,11/22/2021,104,Bay of Plenty,New Zealand,347700,28.8
183,Roadbike,611,Suzuki,Standard,2005,DR-Z400,Yellow,10/12/2021,114,Canterbury,New Zealand,655000,14.72
184,Trailer,599,Rhino,Standard,2019,DOMESTIC TRAILER,Grey,10/28/2021,101,Northland,New Zealand,201500,16.11
185,Trailer,549,Homebuilt,Standard,1990,TRAILER,Blue,3/19/2022,109,Wellington,New Zealand,543500,67.52
186,Trailer,623,Trailer,Standard,1981,HOMEMADE,Grey,2/16/2022,102,Auckland,New Zealand,1695200,343.09
187,Trailer,623,Trailer,Standard,2019,TRAYLA,Silver,2/4/2022,106,Hawke's Bay,New Zealand,182700,12.92
188,Boat Trailer,513,Bricon,Standard,2019,357J,Silver,12/16/2021,102,Auckland,New Zealand,1695200,343.09
189,Trailer,623,Trailer,Standard,2019,SMASH PALACE,Silver,3/7/2022,114,Canterbury,New Zealand,655000,14.72
190,Trailer,623,Trailer,Standard,1996,BRIFORD 5X4 SHUTTLE,White,10/31/2021,114,Canterbury,New Zealand,655000,14.72
191,Trailer,623,Trailer,Standard,2019,DIAMOND,Silver,1/19/2022,106,Hawke's Bay,New Zealand,182700,12.92
192,Trailer,562,Kea,Standard,2019,K844XA,Silver,4/2/2022,103,Waikato,New Zealand,513800,21.5
193,Trailer,623,Trailer,Standard,2019,TUFF,Silver,11/1/2021,102,Auckland,New Zealand,1695200,343.09
194,Caravan,623,Trailer,Standard,2006,DMW,White,12/7/2021,102,Auckland,New Zealand,1695200,343.09
195,Trailer - Heavy,514,Briford,Standard,2015,TRAILER,Silver,3/8/2022,102,Auckland,New Zealand,1695200,343.09
196,Trailer,623,Trailer,Standard,1979,HOMEMADE,Green,12/2/2021,114,Canterbury,New Zealand,655000,14.72
197,Trailer - Heavy,623,Trailer,Standard,2019,CABLE DRUM,Silver,3/13/2022,111,Nelson,New Zealand,54500,129.15
198,Trailer,623,Trailer,Standard,1999,LOCAL,Silver,2/2/2022,102,Auckland,New Zealand,1695200,343.09
199,Trailer,623,Trailer,Standard,1998,KING,Silver,2/19/2022,106,Hawke's Bay,New Zealand,182700,12.92
200,Trailer,623,Trailer,Standard,2001,HOME BUILT,Grey,10/14/2021,115,Otago,New Zealand,246000,7.89
201,Trailer - Heavy,623,Trailer,Standard,2019,IFOR WILLIAMS,Silver,1/7/2022,101,Northland,New Zealand,201500,16.11
202,Trailer,623,Trailer,Standard,1977,LOCAL,Orange,10/25/2021,104,Bay of Plenty,New Zealand,347700,28.8
203,Roadbike,625,Triumph,Standard,2004,SPEEDTRIPLE,Red,2/10/2022,108,Manawatū-Whanganui,New Zealand,258200,11.62
204,Trailer,623,Trailer,Standard,2019,DOLY,Grey,11/29/2021,106,Hawke's Bay,New Zealand,182700,12.92
205,Trailer,623,Trailer,Standard,2019,SINGLE AXLE,Grey,12/15/2021,114,Canterbury,New Zealand,655000,14.72
206,Roadbike,611,Suzuki,Standard,2005,GN250,Black,4/2/2022,102,Auckland,New Zealand,1695200,343.09
207,Roadbike,550,Honda,Standard,1985,XL250,White,3/27/2022,109,Wellington,New Zealand,543500,67.52
208,Trailer,623,Trailer,Standard,2019,ROOFLINE,Grey,2/14/2022,111,Nelson,New Zealand,54500,129.15
209,Trailer,623,Trailer,Standard,2019,T D ENGINEERING,Silver,3/17/2022,107,Taranaki,New Zealand,127300,17.55
210,Trailer,623,Trailer,Standard,2015,TRADETESTED 7 X 4,Silver,10/12/2021,102,Auckland,New Zealand,1695200,343.09
211,Trailer,623,Trailer,Standard,2015,VULCAN,Silver,11/1/2021,102,Auckland,New Zealand,1695200,343.09
212,Trailer,623,Trailer,Standard,2016,HOME MADE,Grey,3/1/2022,109,Wellington,New Zealand,543500,67.52
213,Caravan,504,Anglo,Standard,1976,CARAVAN,White,12/1/2021,102,Auckland,New Zealand,1695200,343.09
214,Trailer - Heavy,597,Reid,Standard,2015,TRAILER,Silver,10/11/2021,102,Auckland,New Zealand,1695200,343.09
215,Trailer,572,Lochiel,Standard,2015,DOMESTIC TRAILER,Silver,4/3/2022,115,Otago,New Zealand,246000,7.89
216,Trailer,514,Briford,Standard,2008,TRAILER 8X4,Silver,2/10/2022,102,Auckland,New Zealand,1695200,343.09
217,Trailer - Heavy,623,Trailer,Standard,1985,SLOAN,Blue,2/22/2022,103,Waikato,New Zealand,513800,21.5
218,Trailer,616,Titan,Standard,2015,7X4,Silver,12/23/2021,102,Auckland,New Zealand,1695200,343.09
219,Trailer,623,Trailer,Standard,2002,HOMEBUILT,Grey,1/31/2022,114,Canterbury,New Zealand,655000,14.72
220,Trailer,623,Trailer,Standard,2016,DOMESTIC,Silver,11/22/2021,101,Northland,New Zealand,201500,16.11
221,Boat Trailer,623,Trailer,Standard,2000,JETSKI,Black,12/25/2021,103,Waikato,New Zealand,513800,21.5
222,Trailer,623,Trailer,Standard,2016,TANDEM,Silver,4/4/2022,106,Hawke's Bay,New Zealand,182700,12.92
